IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.157.97,8443,8443,true,SIN,Asia Pacific,Singapore,160,11.87
8.219.58.64,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.87
8.222.164.44,2087,2087,true,SIN,Asia Pacific,Singapore,198,11.86
8.222.215.228,2095,2095,false,SIN,Asia Pacific,Singapore,9,11.86
8.222.198.105,2095,2095,false,SIN,Asia Pacific,Singapore,7,11.86
8.219.151.193,2096,2096,true,SIN,Asia Pacific,Singapore,126,11.85
8.222.214.13,2083,2083,true,SIN,Asia Pacific,Singapore,51,11.85
47.74.15.80,80,80,false,LAX,North America,Los Angeles,171,11.84
8.219.67.133,2087,2087,true,SIN,Asia Pacific,Singapore,75,11.84
8.219.163.195,2083,2083,true,SIN,Asia Pacific,Singapore,76,11.84
47.245.34.36,2053,2053,true,LAX,North America,Los Angeles,206,11.84
47.236.149.107,8880,8880,false,SIN,Asia Pacific,Singapore,15,11.84
8.219.152.195,443,443,true,SIN,Asia Pacific,Singapore,120,11.84
8.217.251.62,2087,2087,true,HKG,Asia Pacific,Hong Kong,107,11.83
8.222.222.64,2053,2053,true,SIN,Asia Pacific,Singapore,108,11.83
47.74.16.67,8880,8880,false,LAX,North America,Los Angeles,169,11.83
8.222.154.227,2086,2086,false,SIN,Asia Pacific,Singapore,19,11.83
8.222.249.98,443,443,true,SIN,Asia Pacific,Singapore,43,11.82
47.74.10.135,2052,2052,false,LAX,North America,Los Angeles,187,11.82
8.219.126.3,2096,2096,true,SIN,Asia Pacific,Singapore,95,11.82
8.209.242.25,80,80,false,NRT,Asia Pacific,Tokyo,76,11.82
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,20,11.81
47.74.26.196,2052,2052,false,HKG,Asia Pacific,Hong Kong,163,11.81
8.219.172.128,2083,0,true,SIN,Asia Pacific,Singapore,3,11.81
47.74.20.133,2083,2083,true,NRT,Asia Pacific,Tokyo,150,11.81
8.219.11.158,8080,8080,false,SIN,Asia Pacific,Singapore,14,11.80
8.219.248.170,2082,2082,false,SIN,Asia Pacific,Singapore,12,11.80
47.245.59.133,2096,2096,true,KIX,Asia Pacific,Osaka,126,11.80
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,21,11.80
8.219.193.202,2087,2087,true,SIN,Asia Pacific,Singapore,147,11.79
8.219.251.81,8080,8080,false,SIN,Asia Pacific,Singapore,8,11.79
8.219.220.88,2087,2087,true,SIN,Asia Pacific,Singapore,116,11.79
47.245.55.235,2086,2086,false,NRT,Asia Pacific,Tokyo,84,11.79
47.91.3.112,2096,0,true,LAX,North America,Los Angeles,175,11.79
8.219.113.27,2095,2095,false,SIN,Asia Pacific,Singapore,15,11.78
8.219.206.180,2052,2052,false,SIN,Asia Pacific,Singapore,5,11.78
8.222.162.45,80,80,false,SIN,Asia Pacific,Singapore,5,11.77
47.245.58.250,2096,2096,true,NRT,Asia Pacific,Tokyo,167,11.77
8.219.53.142,80,80,false,SIN,Asia Pacific,Singapore,4,11.77
